"pop" "Latitude" "Longitude" "ind"
"225" "Turtle Harbor" 25.28802 -80.23137 "673.bam"
"226" "Turtle Harbor" 25.28802 -80.23137 "674.bam"
"227" "Turtle Harbor" 25.28802 -80.23137 "675.bam"
"228" "Turtle Shell Grounds" 25.27644 -80.1785 "662.bam"
"229" "Turtle Shell Grounds" 25.27644 -80.1785 "664.bam"
"230" "Turtle Shell Grounds" 25.27644 -80.1785 "661.bam"
"231" "Turtle Shell Grounds" 25.27644 -80.1785 "665.bam"
"232" "W Sambo Deep" 24.47269 -81.73489 "229.bam"
"233" "W Sambo Deep" 24.47269 -81.73489 "223.bam"
"234" "W Sambo Deep" 24.47269 -81.73489 "228.bam"
"235" "W Sambo Deep" 24.47269 -81.73489 "227.bam"
"236" "W Sambo Deep" 24.47269 -81.73489 "221.bam"
"237" "W Sambo Deep" 24.47269 -81.73489 "222.bam"
"238" "W Sambo Deep" 24.47269 -81.73489 "226.bam"
"239" "W Sambo Deep" 24.47269 -81.73489 "225.bam"
"240" "W Sambo Shallow" 24.47551 -81.73554 "241.bam"
"241" "W Sambo Shallow" 24.47551 -81.73554 "251.bam"
"242" "W Sambo Shallow" 24.47551 -81.73554 "250.bam"
"243" "W Sambo Shallow" 24.47551 -81.73554 "243.bam"
"244" "White Bank Rocks" 25.03575 -80.37904 "562.bam"
"245" "White Bank Rocks" 25.03575 -80.37904 "561.bam"
"246" "White Bank Rocks" 25.03575 -80.37904 "585.bam"
"247" "White Bank Rocks" 25.03575 -80.37904 "589.bam"
"248" "White Bank Rocks" 25.03575 -80.37904 "564.bam"
"249" "White Bank Rocks" 25.03575 -80.37904 "560.bam"
"250" "White Bank Rocks" 25.03575 -80.37904 "563.bam"
